id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
117,600,600,2,0,-1.854620464,-0.952255567,-0.899084255,12.85714286,4.674692308,2156.25
118,600,600,2,0,0.997730998,2.818787695,-0.172357629,24.52,23.850625,2250
119,600,600,2,0,0.936985678,-0.286395139,-0.172357629,24.18518519,6.233346154,2250
120,600,600,2,0,1.229177388,0.286695795,-0.734984694,25.83870968,7.985066667,2177.419355
121,600,600,2,0,0.113241376,0.790700906,0.684155452,20.07142857,9.928185185,2360.492857
122,600,600,2,0,-0.351163845,-0.695560516,-0.172357629,18.06878307,5.223112454,2250
123,600,600,2,0,-0.425024874,1.13956139,-0.224266673,17.76923077,11.54366615,2243.303571
124,600,600,2,0,-0.120837359,-0.735781848,2.734548877,19.03571429,5.133111111,2625
125,600,600,2,0,-0.600606058,-0.210802885,-0.172357629,17.07692308,6.440333333,2250
126,600,600,2,0,0.739705337,-0.266765368,2.687663288,23.12903226,6.286448276,2618.951613
127,600,600,2,0,0.341018891,0.25301306,-0.172357629,21.13333333,7.869678571,2250
128,600,600,2,0,0.234437492,-0.203885156,0.742779605,20.62962963,6.459615385,2368.055556
129,600,600,2,0,-0.634252764,-1.405127898,-0.401850248,16.94736842,3.843777778,2220.394737
130,600,600,2,0,-0.163719476,-0.231857663,1.281095624,18.85185185,6.382,2437.5
131,600,600,2,0,-0.771617559,-1.730572603,-0.379993808,16.42857143,3.339481481,2223.214286
132,600,600,2,0,1.319164443,2.446225162,-1.114425018,26.37037037,20.30380769,2128.47037
133,12,1,3,1,-0.460206685,-1.029795967,-0.415348791,14.54166667,3.621826087,2160.826087
134,12,1,3,1,-0.002950835,-0.021327142,-1.061739594,16.2962963,6.604916667,2062.514815
135,12,1,3,2,0.46419386,-0.412297924,-1.535991392,18.30769231,5.23244,1990.384615
136,13,1,3,1,0.478923569,-0.833325061,0.428072001,18.375,4.071590909,2289.104167
137,13,1,3,1,-1.106401116,0.84935602,0.375104995,12.37931034,11.09571429,2281.048276
138,13,1,3,2,0.613178261,-0.095624297,-0.354300306,19,6.318923077,2170.111111
139,13,1,3,2,-1.121336356,-0.844099237,-0.034539014,12.33333333,4.045538462,2218.744444
140,13,1,3,1,0.469811553,0.234166915,0.696156084,18.33333333,7.69088,2329.877778
141,13,1,3,2,0.972196519,0.450141505,0.44496899,20.77777778,8.747,2291.674074
142,13,1,3,2,1.180514296,-0.194790932,0.472046133,21.88461538,5.9564,2295.792308
143,13,1,3,2,1.700938762,1.505449622,-0.043885866,24.91428571,16.40281818,2217.322857
144,13,1,3,2,0.565956056,-0.376067034,0.290628341,18.77777778,5.346615385,2268.2
145,13,1,3,1,0.131603924,-0.499498517,0.102633735,16.85185185,4.967538462,2239.607407
146,13,1,3,1,-1.335572959,-0.177120354,0.362927402,11.69230769,6.01944,2279.196154
147,13,1,3,2,-0.39788007,1.750698684,0.123548977,14.76923077,18.9835,2242.788462
148,14,1,3,2,-0.167211103,-0.500243756,0.324254467,15.64285714,4.965333333,2273.314286
149,14,1,3,1,1.085071194,-0.027072588,0.170964417,21.37037037,6.582346154,2250
150,14,1,3,2,-1.62131133,-0.872664989,0.35355296,10.88888889,3.977269231,2277.77037
151,14,1,3,1,1.281900807,1.788858655,-0.527562174,22.44444444,19.42004,2143.759259
152,14,1,3,1,0.131603924,-0.195491874,0.696302194,16.85185185,5.953913043,2329.9
153,14,1,3,1,-2.996190506,-1.273984857,-0.595446097,7.730769231,3.13144,2133.434615
154,14,1,3,1,-0.237745313,-0.163687546,-0.44384126,15.37037037,6.067807692,2156.492593
155,14,1,3,2,-1.169842579,-1.344731509,0.193806248,12.18518519,3.002192308,2253.474074
156,14,1,3,2,-1.96312124,-1.988687789,-0.779333707,10,2.045576923,2105.466667
157,14,1,3,1,-0.266866416,-0.985738649,1.192198847,15.25925926,3.718153846,2405.322222
158,15,1,3,2,-0.690516263,-0.929214794,0.242125508,13.73076923,3.8455,2260.823077
159,16,2,3,2,0.542134971,-0.066938502,0.101927537,18.66666667,6.427846154,2239.5
160,16,2,3,2,-0.52851258,-0.222386849,0.992685919,14.2962963,5.859269231,2374.977778
161,16,2,3,2,0.751600292,-0.07112164,0.521262656,19.66666667,6.411846154,2303.277778
162,16,2,3,1,0.383022419,0.608006463,1.934092831,17.94117647,9.609625,2518.158824
163,16,2,3,2,0.575275797,-0.375214016,-0.973826721,18.82142857,5.349333333,2075.885714
164,17,2,3,1,1.390936005,0.710765005,0.154999638,23.0625,10.21633333,2247.571875
165,17,2,3,1,-1.145516195,-1.555074474,-0.537010608,12.25925926,2.648576923,2142.322222
166,17,2,3,2,0.084162879,-0.637946368,-0.469460115,16.65384615,4.574230769,2152.596154
167,17,2,3,2,-0.514538881,-0.067117681,-0.834976252,14.34615385,6.42716,2097.003846
168,17,2,3,2,-0.957817162,-0.984508464,-0.469460115,12.84615385,3.72088,2152.596154
169,17,2,3,2,-0.144716663,0.318919259,-0.377410942,15.73076923,8.0892,2166.596154
170,17,2,3,1,0.514472277,0.729537663,0.53739093,18.53846154,10.33124,2305.730769
171,17,2,3,2,-0.87587222,-1.072752875,-1.49220341,13.11111111,3.530307692,1997.044444
172,18,2,3,1,-0.264244336,0.082807336,-0.303392281,15.26923077,7.02768,2177.853846
173,18,2,3,1,-0.218447962,-0.176706868,0.101927537,15.44444444,6.020923077,2239.5
174,18,2,3,1,0.646837503,2.119892409,0.170964417,19.16,23.654,2250
175,18,2,3,2,-0.601970546,-0.413130175,-1.786054565,14.03703704,5.229846154,1952.351852
176,18,2,3,2,-0.818458284,0.187579519,0.422565488,13.3,7.480344828,2288.266667
177,18,2,3,2,-0.85325897,-0.46025962,0.422565488,13.18518519,5.085038462,2288.266667
178,18,2,3,2,-1.62131133,-1.526916685,-0.485774772,10.88888889,2.693384615,2150.114815
179,18,2,3,2,-0.816137474,0.627671361,-1.052657372,13.30769231,9.722875,2063.896154
180,18,2,3,2,0.675289227,1.025868451,0.017816997,19.2962963,12.32615385,2226.707407
181,18,2,3,2,-0.52851258,-0.395974048,0.248378258,14.2962963,5.283576923,2261.774074
182,18,2,3,1,-0.86093319,0.35695064,-1.325465831,13.16,8.274583333,2022.404
183,18,2,3,1,-1.121336356,-0.747443302,-0.233954536,12.33333333,4.285346154,2188.414815
184,18,2,3,1,-0.033824675,0.434970447,-1.047090348,16.17142857,8.668294118,2064.742857
185,19,2,3,2,-1.680024423,-0.447029187,-1.902165024,10.73076923,5.12528,1934.692308
