Z1 Z2 type_final
0.076 0 NA
0.0701 0 NA
0.0223 0 NA
0 0.027 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1973 0 NA
1 0 PO
1 0 PO
0 0 NA
0 0 NA
0 0 NA
0 0.1048 AV2
0.3226 0 NA
0.0094 0 NA
0 0 NA
0.0721 0.0185 NA
0 0 NA
0 0 NA
0 0 NA
1 0 PO
0.1221 0 NA
0.3995 0.1116 G1
0.0888 0.0198 G3
0 0 NA
6e-04 0.013 NA
0 0 NA
0 0 NA
0 0 NA
0.0053 0 NA
0 0 NA
0.013 0.0262 C2
0 0 NA
0 0 NA
0.611 0 AV
0.273 0.0122 C1
0.006 0.0029 NA
0.49 0.0564 AV
0.092 0 NA
0.0218 0.0237 NA
0.9832 0.0168 PO
0 0 NA
0.3199 0 GAV
0 0 NA
0.4593 0.3215 FS
0.1393 0 C1r1
0.5187 0.2592 FS
0.1722 0 NA
0.0655 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.9971 0.0029 PO
0 0.015 NA
0 0 NA
0 0.0302 NA
0.414 0.0362 NA
0.0499 0 NA
0 0 NA
0 0 NA
0.0867 0 NA
0 0 NA
0 0 NA
0.0413 0 NA
0.2516 0 NA
0.1302 0 NA
0 0 NA
0 0 NA
1 0 PO
0.0388 0.0066 NA
0 0 NA
0.3036 0 G2
0.1143 0.0164 G2
0.0723 0 NA
0 0 NA
0 0 NA
0.0897 0 NA
0 0 NA
0.5629 0 G1
0.1964 0 G2
0.0968 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0216 0 NA
0 0.0302 NA
0.1152 0 NA
0.045 0 NA
0.0365 0 NA
0 0 NA
0.1928 0 AV2
0.1066 0 NA
0 0 NA
0.4436 0.0105 G1
0.4537 0.1999 FS
0.3943 0 C1
0.1862 0.0185 C1r1
0.2048 0 C1r1
0 0 NA
0.0678 0 NA
0.0377 0 NA
0 0 NA
0.982 0.018 PO
1 0 PO
0 0 NA
0 0 NA
0 0 NA
0.0429 0 NA
0 0 NA
0 0 NA
0.045 0.0147 NA
0 0 NA
0.9495 0.0505 PO
0.9748 0.0252 PO
0.0399 0 NA
0.0944 0 NA
0.0326 0 NA
0 0 NA
0 0 NA
0.0779 0 NA
0 0 NA
0.1594 0 NA
0.0306 0 NA
0.0782 0 NA
0.995 0.005 PO
0.0143 0.0088 C1r1
0 0 NA
0.2833 0 AV2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0865 0 C2
0 0 NA
